COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
"10004","新竹縣","10004130","五峰鄉",117.1300000000000000,2.51,19.32,38.29,16.72,21.57,128.95,"113Y06M"
"10005","苗栗縣","10005010","苗栗市",98.2000000000000000,2.58,2276.12,47.83,17.33,30.50,175.98,"113Y06M"
"10005","苗栗縣","10005020","苑裡鎮",108.8100000000000000,2.78,638.11,40.22,13.68,26.54,193.98,"113Y06M"
"10005","苗栗縣","10005030","通霄鎮",113.1400000000000000,2.69,287.61,46.44,11.64,34.80,299.07,"113Y06M"
"10005","苗栗縣","10005040","竹南鎮",101.0200000000000000,2.65,2400.56,42.09,21.83,20.26,92.82,"113Y06M"
"10005","苗栗縣","10005050","頭份市",101.1300000000000000,2.66,2005.31,41.07,19.94,21.14,106.03,"113Y06M"
"10005","苗栗縣","10005060","後龍鎮",111.3300000000000000,2.75,446.72,42.32,13.42,28.90,215.38,"113Y06M"
"10005","苗栗縣","10005070","卓蘭鎮",109.8300000000000000,2.61,197.25,50.14,11.81,38.33,324.58,"113Y06M"
"10005","苗栗縣","10005080","大湖鄉",115.4600000000000000,2.50,141.11,48.15,11.38,36.77,322.94,"113Y06M"
"10005","苗栗縣","10005090","公館鄉",108.0600000000000000,2.82,434.47,45.36,14.55,30.82,211.81,"113Y06M"
"10005","苗栗縣","10005100","銅鑼鄉",112.9000000000000000,2.66,208.93,47.28,13.66,33.62,246.08,"113Y06M"
"10005","苗栗縣","10005110","南庄鄉",123.1700000000000000,2.31,52.97,47.20,10.41,36.79,353.39,"113Y06M"
"10005","苗栗縣","10005120","頭屋鄉",113.3000000000000000,2.66,184.52,44.99,9.73,35.26,362.46,"113Y06M"
"10005","苗栗縣","10005130","三義鄉",112.6900000000000000,2.64,213.97,45.22,14.16,31.06,219.28,"113Y06M"
"10005","苗栗縣","10005140","西湖鄉",129.4400000000000000,2.40,149.53,47.57,7.06,40.51,573.47,"113Y06M"
"10005","苗栗縣","10005150","造橋鄉",113.7400000000000000,2.74,241.05,44.44,11.09,33.36,300.90,"113Y06M"
"10005","苗栗縣","10005160","三灣鄉",121.8000000000000000,2.61,112.65,52.22,12.30,39.92,324.58,"113Y06M"
"10005","苗栗縣","10005170","獅潭鄉",120.4900000000000000,2.35,51.07,56.46,8.18,48.28,590.57,"113Y06M"
"10005","苗栗縣","10005180","泰安鄉",117.5000000000000000,2.81,9.06,37.35,13.47,23.88,177.29,"113Y06M"
"10007","彰化縣","10007010","彰化市",96.2400000000000000,2.81,3423.43,47.84,19.61,28.23,143.92,"113Y06M"
"10007","彰化縣","10007020","鹿港鎮",102.3100000000000000,3.24,2133.34,44.92,19.71,25.20,127.87,"113Y06M"
"10007","彰化縣","10007030","和美鎮",103.3300000000000000,3.10,2196.60,40.51,16.70,23.81,142.59,"113Y06M"
"10007","彰化縣","10007040","線西鄉",105.8300000000000000,3.46,894.41,41.04,15.68,25.36,161.79,"113Y06M"
"10007","彰化縣","10007050","伸港鄉",100.3300000000000000,3.39,1723.09,41.33,19.29,22.03,114.20,"113Y06M"
"10007","彰化縣","10007060","福興鄉",109.1300000000000000,3.31,900.10,41.15,15.28,25.87,169.24,"113Y06M"
"10007","彰化縣","10007070","秀水鄉",105.9500000000000000,3.28,1293.25,41.41,17.15,24.26,141.45,"113Y06M"
"10007","彰化縣","10007080","花壇鄉",105.1900000000000000,2.97,1201.07,39.44,13.87,25.57,184.30,"113Y06M"
"10007","彰化縣","10007090","芬園鄉",110.2500000000000000,3.19,578.58,44.76,13.29,31.48,236.90,"113Y06M"
"10007","彰化縣","10007100","員林市",96.9400000000000000,2.88,3066.26,47.79,20.69,27.11,131.03,"113Y06M"
"10007","彰化縣","10007110","溪湖鎮",102.2500000000000000,3.10,1673.62,45.85,20.60,25.24,122.51,"113Y06M"
"10007","彰化縣","10007120","田中鎮",104.0900000000000000,2.87,1128.60,45.97,14.61,31.36,214.58,"113Y06M"
"10007","彰化縣","10007130","大村鄉",103.0800000000000000,3.15,1292.50,38.34,15.25,23.09,151.41,"113Y06M"
"10007","彰化縣","10007140","埔鹽鄉",110.2700000000000000,3.25,796.67,41.79,12.69,29.11,229.43,"113Y06M"
"10007","彰化縣","10007150","埔心鄉",105.6400000000000000,2.96,1596.75,38.39,13.28,25.11,189.10,"113Y06M"
"10007","彰化縣","10007160","永靖鄉",106.8600000000000000,3.08,1694.14,42.93,15.33,27.60,179.98,"113Y06M"
"10007","彰化縣","10007170","社頭鄉",105.5900000000000000,3.03,1139.08,42.96,15.47,27.49,177.71,"113Y06M"
"10007","彰化縣","10007180","二水鄉",111.1600000000000000,2.59,465.07,51.60,10.87,40.73,374.64,"113Y06M"
"10007","彰化縣","10007190","北斗鎮",99.9800000000000000,2.88,1728.98,47.19,19.69,27.50,139.68,"113Y06M"
"10007","彰化縣","10007200","二林鎮",105.5400000000000000,3.01,510.98,45.88,14.07,31.81,226.07,"113Y06M"
"10007","彰化縣","10007210","田尾鄉",107.3500000000000000,3.07,1068.58,41.58,13.93,27.65,198.54,"113Y06M"
"10007","彰化縣","10007220","埤頭鄉",106.3500000000000000,3.11,670.79,45.71,15.14,30.57,201.88,"113Y06M"
"10007","彰化縣","10007230","芳苑鄉",112.5200000000000000,3.03,337.62,47.95,12.56,35.39,281.79,"113Y06M"
"10007","彰化縣","10007240","大城鄉",116.9600000000000000,2.93,232.00,50.81,10.11,40.70,402.72,"113Y06M"
"10007","彰化縣","10007250","竹塘鄉",109.4500000000000000,3.09,337.43,58.05,19.06,38.99,204.55,"113Y06M"
"10007","彰化縣","10007260","溪州鄉",108.6200000000000000,3.03,368.57,45.46,13.31,32.15,241.48,"113Y06M"
"10008","南投縣","10008010","南投市",98.9000000000000000,2.68,1360.10,46.47,17.36,29.12,167.73,"113Y06M"
"10008","南投縣","10008020","埔里鎮",97.8500000000000000,2.61,473.17,46.07,15.13,30.93,204.39,"113Y06M"
"10008","南投縣","10008030","草屯鎮",100.1000000000000000,2.76,933.30,44.17,16.11,28.05,174.11,"113Y06M"
"10008","南投縣","10008040","竹山鎮",103.8000000000000000,2.51,206.25,47.63,13.81,33.82,244.91,"113Y06M"
"10008","南投縣","10008050","集集鎮",108.7000000000000000,2.35,197.76,46.91,11.07,35.84,323.75,"113Y06M"
"10008","南投縣","10008060","名間鄉",111.1500000000000000,2.80,426.99,43.76,11.44,32.32,282.44,"113Y06M"
"10008","南投縣","10008070","鹿谷鄉",114.5200000000000000,2.06,112.69,51.94,9.58,42.36,442.26,"113Y06M"
"10008","南投縣","10008080","中寮鄉",120.7800000000000000,2.43,91.14,48.61,9.56,39.05,408.37,"113Y06M"
"10008","南投縣","10008090","魚池鄉",110.5400000000000000,2.58,120.11,48.20,11.46,36.74,320.67,"113Y06M"
"10008","南投縣","10008100","國姓鄉",117.6300000000000000,2.38,94.86,45.55,9.20,36.34,394.88,"113Y06M"
"10008","南投縣","10008110","水里鄉",109.9600000000000000,2.28,149.03,52.94,12.14,40.80,336.08,"113Y06M"
"10008","南投縣","10008120","信義鄉",114.1200000000000000,2.90,10.72,40.90,19.56,21.34,109.12,"113Y06M"
"10008","南投縣","10008130","仁愛鄉",105.4200000000000000,3.17,12.13,41.95,21.84,20.11,92.05,"113Y06M"
"10009","雲林縣","10009010","斗六市",96.9100000000000000,2.64,1160.35,43.67,18.56,25.11,135.32,"113Y06M"
"10009","雲林縣","10009020","斗南鎮",102.3200000000000000,2.59,902.32,45.00,15.04,29.96,199.18,"113Y06M"
"10009","雲林縣","10009030","虎尾鎮",100.7200000000000000,2.60,1029.07,44.16,18.58,25.58,137.69,"113Y06M"
"10009","雲林縣","10009040","西螺鎮",100.2000000000000000,2.87,894.30,48.36,18.64,29.71,159.40,"113Y06M"
"10009","雲林縣","10009050","土庫鎮",108.5000000000000000,2.81,560.57,48.45,15.76,32.69,207.47,"113Y06M"
"10009","雲林縣","10009060","北港鎮",105.9200000000000000,2.33,908.22,48.33,16.00,32.32,201.94,"113Y06M"
"10009","雲林縣","10009070","古坑鄉",108.9600000000000000,2.58,178.60,46.62,11.98,34.63,289.02,"113Y06M"
"10009","雲林縣","10009080","大埤鄉",112.1800000000000000,2.68,396.51,45.78,12.11,33.67,278.07,"113Y06M"
"10009","雲林縣","10009090","莿桐鄉",107.9300000000000000,2.88,538.09,44.88,14.06,30.82,219.25,"113Y06M"
"10009","雲林縣","10009100","林內鄉",110.2000000000000000,2.75,445.68,46.21,14.69,31.52,214.55,"113Y06M"
"10009","雲林縣","10009110","二崙鄉",114.5400000000000000,2.77,415.98,49.59,12.15,37.44,308.25,"113Y06M"
"10009","雲林縣","10009120","崙背鄉",111.9800000000000000,2.62,389.46,50.74,14.14,36.60,258.77,"113Y06M"
"10009","雲林縣","10009130","麥寮鄉",97.4700000000000000,3.16,619.00,37.74,18.65,19.09,102.34,"113Y06M"
"10009","雲林縣","10009140","東勢鄉",123.6900000000000000,2.34,274.40,48.77,10.10,38.67,382.80,"113Y06M"
"10009","雲林縣","10009150","褒忠鄉",115.2400000000000000,2.67,319.87,48.03,12.53,35.51,283.45,"113Y06M"
"10009","雲林縣","10009160","臺西鄉",114.3300000000000000,2.59,399.75,42.81,10.24,32.57,317.99,"113Y06M"
"10009","雲林縣","10009170","元長鄉",119.9000000000000000,2.59,324.04,53.83,11.44,42.39,370.55,"113Y06M"
"10009","雲林縣","10009180","四湖鄉",120.2300000000000000,2.48,270.21,45.43,9.15,36.28,396.49,"113Y06M"
"10009","雲林縣","10009190","口湖鄉",113.6300000000000000,2.71,308.27,42.93,10.41,32.52,312.51,"113Y06M"
"10009","雲林縣","10009200","水林鄉",120.5300000000000000,2.41,309.92,52.03,10.31,41.71,404.43,"113Y06M"
"10010","嘉義縣","10010010","太保市",102.5300000000000000,2.68,587.94,38.69,17.17,21.52,125.32,"113Y06M"
"10010","嘉義縣","10010020","朴子市",100.4400000000000000,2.50,818.52,48.29,17.27,31.02,179.64,"113Y06M"
"10010","嘉義縣","10010030","布袋鎮",103.6200000000000000,2.53,394.57,43.92,9.35,34.57,369.55,"113Y06M"
"10010","嘉義縣","10010040","大林鎮",102.6300000000000000,2.54,463.67,49.82,13.42,36.40,271.22,"113Y06M"
"10010","嘉義縣","10010050","民雄鄉",103.7000000000000000,2.63,818.83,40.93,13.64,27.28,199.96,"113Y06M"
"10010","嘉義縣","10010060","溪口鄉",115.1400000000000000,2.52,396.02,50.98,9.77,41.21,421.72,"113Y06M"
"10010","嘉義縣","10010070","新港鄉",111.6100000000000000,2.74,452.37,47.73,12.85,34.87,271.27,"113Y06M"
"10010","嘉義縣","10010080","六腳鄉",113.9900000000000000,2.42,331.84,53.65,8.37,45.28,541.24,"113Y06M"
"10010","嘉義縣","10010090","東石鄉",112.5900000000000000,2.54,275.81,46.42,8.81,37.61,426.88,"113Y06M"
"10010","嘉義縣","10010100","義竹鄉",109.5500000000000000,2.35,207.01,54.51,9.29,45.22,486.73,"113Y06M"
"10010","嘉義縣","10010110","鹿草鄉",117.7200000000000000,2.44,258.07,55.61,9.68,45.93,474.43,"113Y06M"
"10010","嘉義縣","10010120","水上鄉",106.6000000000000000,2.52,687.31,39.88,9.89,29.99,303.13,"113Y06M"
"10010","嘉義縣","10010130","中埔鄉",107.2900000000000000,2.60,327.30,42.91,11.31,31.60,279.34,"113Y06M"
"10010","嘉義縣","10010140","竹崎鄉",113.4400000000000000,2.81,203.90,48.00,11.84,36.16,305.29,"113Y06M"
"10010","嘉義縣","10010150","梅山鄉",113.0500000000000000,2.61,147.73,53.12,11.55,41.58,360.12,"113Y06M"
"10010","嘉義縣","10010160","番路鄉",114.6300000000000000,2.52,91.60,45.53,9.98,35.55,356.37,"113Y06M"
"10010","嘉義縣","10010170","大埔鄉",102.3500000000000000,2.31,25.31,41.82,11.16,30.66,274.78,"113Y06M"
"10010","嘉義縣","10010180","阿里山鄉",108.0100000000000000,2.85,12.32,43.47,15.65,27.82,177.74,"113Y06M"
"10013","屏東縣","10013010","屏東市",95.7600000000000000,2.51,2970.32,45.23,16.69,28.53,170.92,"113Y06M"
"10013","屏東縣","10013020","潮州鎮",97.5400000000000000,2.54,1260.57,42.14,14.42,27.72,192.24,"113Y06M"
"10013","屏東縣","10013030","東港鎮",100.3900000000000000,2.58,1560.10,42.03,17.10,24.93,145.83,"113Y06M"
"10013","屏東縣","10013040","恆春鎮",102.7900000000000000,2.45,216.15,41.05,16.45,24.60,149.51,"113Y06M"
"10013","屏東縣","10013050","萬丹鄉",106.2400000000000000,3.02,855.00,42.77,14.75,28.02,189.94,"113Y06M"
"10013","屏東縣","10013060","長治鄉",105.8300000000000000,2.68,733.29,41.79,11.93,29.87,250.45,"113Y06M"
"10013","屏東縣","10013070","麟洛鄉",104.5300000000000000,2.56,644.40,47.12,9.34,37.78,404.66,"113Y06M"
"10013","屏東縣","10013080","九如鄉",104.2800000000000000,2.83,514.70,40.86,12.98,27.88,214.75,"113Y06M"
"10013","屏東縣","10013090","里港鄉",101.3900000000000000,2.97,369.87,45.99,17.15,28.85,168.24,"113Y06M"
"10013","屏東縣","10013100","鹽埔鄉",107.8800000000000000,2.93,368.30,41.63,11.98,29.65,247.60,"113Y06M"
"10013","屏東縣","10013110","高樹鄉",111.4300000000000000,2.49,250.00,52.72,11.16,41.56,372.37,"113Y06M"
"10013","屏東縣","10013120","萬巒鄉",109.3600000000000000,2.86,314.50,49.32,13.92,35.40,254.24,"113Y06M"
"10013","屏東縣","10013130","內埔鄉",104.5300000000000000,2.65,642.47,43.60,12.48,31.12,249.31,"113Y06M"
"10013","屏東縣","10013140","竹田鄉",113.0800000000000000,2.75,540.74,46.88,9.78,37.10,379.27,"113Y06M"
"10013","屏東縣","10013150","新埤鄉",111.1300000000000000,2.66,156.57,47.42,9.54,37.88,396.99,"113Y06M"
"10013","屏東縣","10013160","枋寮鄉",106.6300000000000000,2.59,392.80,48.27,12.83,35.44,276.11,"113Y06M"
"10013","屏東縣","10013170","新園鄉",107.3800000000000000,2.70,846.00,39.09,9.93,29.15,293.43,"113Y06M"
"10013","屏東縣","10013180","崁頂鄉",100.4300000000000000,3.22,479.31,60.74,29.66,31.08,104.81,"113Y06M"
"10013","屏東縣","10013190","林邊鄉",103.6900000000000000,2.48,1042.74,49.90,12.27,37.63,306.83,"113Y06M"
"10013","屏東縣","10013200","南州鄉",104.2200000000000000,2.56,515.55,47.78,9.23,38.55,417.51,"113Y06M"
"10013","屏東縣","10013210","佳冬鄉",106.0000000000000000,2.55,572.23,47.31,11.12,36.19,325.56,"113Y06M"
"10013","屏東縣","10013220","琉球鄉",117.5700000000000000,2.44,1802.46,39.75,11.66,28.09,240.86,"113Y06M"
"10013","屏東縣","10013230","車城鄉",115.2400000000000000,2.26,159.79,47.25,10.89,36.36,333.96,"113Y06M"
"10013","屏東縣","10013240","滿州鄉",118.1800000000000000,2.38,50.14,40.38,8.76,31.62,360.90,"113Y06M"
"10013","屏東縣","10013250","枋山鄉",107.7900000000000000,2.49,288.66,38.86,8.80,30.06,341.46,"113Y06M"
"10013","屏東縣","10013260","三地門鄉",99.2200000000000000,3.16,39.22,37.76,17.72,20.03,113.02,"113Y06M"
"10013","屏東縣","10013270","霧臺鄉",103.8100000000000000,2.93,11.69,37.11,13.59,23.52,173.07,"113Y06M"
"10013","屏東縣","10013280","瑪家鄉",100.8400000000000000,3.07,85.08,35.88,16.34,19.54,119.63,"113Y06M"
"10013","屏東縣","10013290","泰武鄉",105.1000000000000000,3.50,44.40,38.64,20.69,17.95,86.77,"113Y06M"
"10013","屏東縣","10013300","來義鄉",98.8900000000000000,3.16,43.81,38.62,19.12,19.50,101.97,"113Y06M"
"10013","屏東縣","10013310","春日鄉",102.6600000000000000,3.26,30.52,42.02,21.02,20.99,99.86,"113Y06M"
"10013","屏東縣","10013320","獅子鄉",105.5800000000000000,2.89,15.79,35.64,13.44,22.20,165.18,"113Y06M"
"10013","屏東縣","10013330","牡丹鄉",99.4500000000000000,2.31,25.95,39.24,14.93,24.31,162.85,"113Y06M"
"10014","臺東縣","10014010","臺東市",97.4200000000000000,2.49,940.66,45.43,18.53,26.90,145.21,"113Y06M"
"10014","臺東縣","10014020","成功鎮",110.8700000000000000,2.41,90.23,47.33,11.56,35.78,309.62,"113Y06M"
"10014","臺東縣","10014030","關山鎮",105.9600000000000000,2.52,136.48,51.96,16.06,35.91,223.61,"113Y06M"
"10014","臺東縣","10014040","卑南鄉",109.7600000000000000,2.40,40.01,41.18,12.06,29.11,241.32,"113Y06M"
"10014","臺東縣","10014050","鹿野鄉",110.8500000000000000,2.37,79.27,45.40,9.57,35.83,374.36,"113Y06M"
"10014","臺東縣","10014060","池上鄉",104.9700000000000000,2.47,93.68,52.60,14.03,38.57,275.00,"113Y06M"
"10014","臺東縣","10014070","東河鄉",118.8300000000000000,2.17,37.44,49.71,9.55,40.16,420.52,"113Y06M"
"10014","臺東縣","10014080","長濱鄉",125.5600000000000000,2.29,42.43,50.80,9.18,41.62,453.12,"113Y06M"
"10014","臺東縣","10014090","太麻里鄉",111.6300000000000000,2.19,109.79,44.39,11.99,32.40,270.26,"113Y06M"
"10014","臺東縣","10014100","大武鄉",110.9700000000000000,2.23,79.54,41.53,13.66,27.87,203.95,"113Y06M"
"10014","臺東縣","10014110","綠島鄉",115.9300000000000000,3.46,290.02,28.13,10.80,17.33,160.43,"113Y06M"
"10014","臺東縣","10014120","海端鄉",110.5700000000000000,3.88,4.87,36.31,22.12,14.19,64.17,"113Y06M"
"10014","臺東縣","10014130","延平鄉",108.0700000000000000,3.31,7.80,34.26,19.96,14.30,71.64,"113Y06M"
"10014","臺東縣","10014140","金峰鄉",100.9200000000000000,3.04,9.74,36.46,18.87,17.59,93.18,"113Y06M"
"10014","臺東縣","10014150","達仁鄉",116.3400000000000000,2.38,11.10,35.69,13.72,21.97,160.17,"113Y06M"
"10014","臺東縣","10014160","蘭嶼鄉",101.0700000000000000,2.64,108.87,29.82,17.25,12.57,72.86,"113Y06M"
"10015","花蓮縣","10015010","花蓮市",91.5300000000000000,2.34,3353.95,49.44,20.37,29.07,142.69,"113Y06M"
"10015","花蓮縣","10015020","鳳林鎮",107.2800000000000000,2.40,85.96,60.97,15.46,45.51,294.37,"113Y06M"
"10015","花蓮縣","10015030","玉里鎮",110.0800000000000000,2.47,86.51,49.90,13.83,36.08,260.87,"113Y06M"
"10015","花蓮縣","10015040","新城鄉",101.8800000000000000,2.41,689.61,38.89,14.80,24.09,162.80,"113Y06M"
"10015","花蓮縣","10015050","吉安鄉",98.8000000000000000,2.46,1272.01,40.27,13.15,27.11,206.13,"113Y06M"
"10015","花蓮縣","10015060","壽豐鄉",112.5000000000000000,2.27,77.06,46.87,12.17,34.70,285.09,"113Y06M"
"10015","花蓮縣","10015070","光復鄉",112.1200000000000000,2.36,73.77,53.84,11.76,42.08,357.79,"113Y06M"
"10015","花蓮縣","10015080","豐濱鄉",126.9500000000000000,2.48,25.67,48.68,10.66,38.02,356.52,"113Y06M"
"10015","花蓮縣","10015090","瑞穗鄉",114.4300000000000000,2.26,78.58,53.18,12.64,40.54,320.82,"113Y06M"
"10015","花蓮縣","10015100","富里鄉",115.1900000000000000,2.39,54.14,52.89,12.89,40.00,310.31,"113Y06M"
"10015","花蓮縣","10015110","秀林鄉",103.8500000000000000,3.24,10.39,36.87,21.38,15.50,72.50,"113Y06M"
"10015","花蓮縣","10015120","萬榮鄉",109.3800000000000000,2.86,9.82,33.69,17.57,16.12,91.73,"113Y06M"
"10015","花蓮縣","10015130","卓溪鄉",117.7200000000000000,3.44,5.81,37.77,21.22,16.55,78.01,"113Y06M"
"10016","澎湖縣","10016010","馬公市",102.8000000000000000,2.42,1879.16,39.87,14.84,25.03,168.65,"113Y06M"
"10016","澎湖縣","10016020","湖西鄉",109.4300000000000000,2.46,484.13,38.71,11.49,27.22,237.00,"113Y06M"
"10016","澎湖縣","10016030","白沙鄉",105.2100000000000000,2.75,502.30,42.41,12.35,30.06,243.43,"113Y06M"
"10016","澎湖縣","10016040","西嶼鄉",104.7900000000000000,2.63,441.20,48.86,11.66,37.19,318.86,"113Y06M"
"10016","澎湖縣","10016050","望安鄉",117.4500000000000000,2.65,393.33,45.37,10.86,34.51,317.78,"113Y06M"
"10016","澎湖縣","10016060","七美鄉",104.7500000000000000,2.56,560.91,40.82,11.71,29.11,248.47,"113Y06M"
"10017","基隆市","10017010","中正區",101.6400000000000000,2.13,6674.29,43.00,10.99,32.01,291.26,"113Y06M"
"10017","基隆市","10017020","七堵區",99.6200000000000000,2.34,935.54,42.12,14.00,28.12,200.87,"113Y06M"
"10017","基隆市","10017030","暖暖區",99.1700000000000000,2.32,1683.92,39.69,14.15,25.54,180.41,"113Y06M"
"10017","基隆市","10017040","仁愛區",96.1800000000000000,2.16,9660.33,58.42,20.96,37.46,178.76,"113Y06M"
"10017","基隆市","10017050","中山區",102.0000000000000000,2.27,3321.20,40.96,10.85,30.11,277.39,"113Y06M"
"10017","基隆市","10017060","安樂區",96.6800000000000000,2.31,4449.04,42.01,14.15,27.87,197.01,"113Y06M"
"10017","基隆市","10017070","信義區",96.8200000000000000,2.27,4748.16,42.87,12.87,30.00,233.01,"113Y06M"
"10018","新竹市","10018010","東區",97.3600000000000000,2.54,24168.65,49.02,28.35,20.67,72.93,"113Y06M"
"10018","新竹市","10018020","北區",95.1400000000000000,2.46,22171.36,42.53,18.81,23.72,126.12,"113Y06M"
"10018","新竹市","10018030","香山區",102.4400000000000000,2.65,1440.95,35.83,14.97,20.86,139.37,"113Y06M"
"10020","嘉義市","10020010","東區",90.5800000000000000,2.52,12677.62,46.83,17.60,29.22,166.00,"113Y06M"
"10020","嘉義市","10020020","西區",93.7200000000000000,2.55,25467.55,43.88,18.31,25.58,139.70,"113Y06M"
"09020","金門縣","09020010","金城鎮",98.6000000000000000,3.20,1985.68,37.83,11.95,25.87,216.47,"113Y06M"
"09020","金門縣","09020020","金沙鎮",96.2000000000000000,3.10,503.06,36.63,8.50,28.13,330.95,"113Y06M"
"09020","金門縣","09020030","金湖鎮",98.9600000000000000,3.15,748.97,35.17,12.12,23.05,190.18,"113Y06M"
"09020","金門縣","09020040","金寧鄉",99.3200000000000000,3.34,1184.33,29.46,10.34,19.11,184.78,"113Y06M"
"09020","金門縣","09020050","烈嶼鄉",97.2200000000000000,3.82,790.48,34.05,7.51,26.53,353.17,"113Y06M"
"09020","金門縣","09020060","烏坵鄉",108.6000000000000000,5.00,545.83,27.93,12.89,15.04,116.67,"113Y06M"
"09007","連江縣","09007010","南竿鄉",126.6400000000000000,3.74,752.69,37.48,16.05,21.43,133.48,"113Y06M"
"09007","連江縣","09007020","北竿鄉",134.3300000000000000,3.27,309.60,30.82,10.71,20.10,187.65,"113Y06M"
"09007","連江縣","09007030","莒光鄉",168.7500000000000000,4.34,320.21,32.37,6.95,25.42,365.82,"113Y06M"
"09007","連江縣","09007040","東引鄉",165.8200000000000000,4.30,413.42,27.62,13.81,13.81,100.00,"113Y06M"
